annee;id_zone;id_quartier;nom_quartier;ref;max;min
2022;2;5;Gaillon;30.4;36.48;21.28
2022;3;32;Europe;26.1;31.32;18.27
2022;13;80;Charonne;22.7;27.24;15.89
2022;2;1;St-Germain-l'Auxerrois;30.4;36.48;21.28
2022;14;47;Bercy;23.9;28.68;16.73
2022;2;13;Saint-Merri;31.7;38.04;22.19
2022;7;59;Grenelle;23.1;27.72;16.17
2022;7;59;Grenelle;21.8;26.16;15.26
2022;11;68;Epinettes;26.6;31.92;18.62
2022;9;46;Picpus;21.8;26.16;15.26
2022;5;52;Croulebarbe;29.0;34.8;20.3
2022;6;65;Ternes;30.7;36.84;21.49
2022;11;43;Roquette;24.3;29.16;17.01
2022;8;57;Saint-Lambert;31.6;37.92;22.12
2022;14;79;Père-Lachaise;25.6;30.72;17.92
2022;2;31;Madeleine;28.5;34.2;19.95
2022;13;73;Villette;18.9;22.68;13.23
2022;4;10;Enfants-Rouges;26.4;31.68;18.48
2022;4;8;Bonne-Nouvelle;25.1;30.12;17.57
2022;11;43;Roquette;26.7;32.04;18.69
2022;11;68;Epinettes;27.8;33.36;19.46
2022;11;68;Epinettes;24.7;29.64;17.29
2022;11;71;Goutte-d'Or;23.0;27.6;16.1
2022;2;4;Place-Vendôme;25.3;30.36;17.71
2022;3;63;Porte-Dauphine;29.0;34.8;20.3
2022;4;10;Enfants-Rouges;28.5;34.2;19.95
2022;12;56;Plaisance;22.6;27.12;15.82
2022;1;27;Ecole-Militaire;33.9;40.68;23.73
2022;1;25;Saint-Thomas-d'Aquin;28.9;34.68;20.23
2022;10;55;Petit-Montrouge;27.3;32.76;19.11
2022;4;8;Bonne-Nouvelle;23.5;28.2;16.45
2022;11;68;Epinettes;23.7;28.44;16.59
2022;10;49;Salpêtrière;27.3;32.76;19.11
2022;4;17;Saint-Victor;28.5;34.2;19.95
2022;3;63;Porte-Dauphine;28.1;33.72;19.67
2022;4;7;Mail;28.3;33.96;19.81
2022;2;34;Chaussée-d'Antin;33.4;40.08;23.38
2022;9;70;Clignancourt;26.9;32.28;18.83
2022;3;62;Muette;33.4;40.08;23.38
2022;8;57;Saint-Lambert;24.0;28.8;16.8
2022;4;19;Val-de-Grace;28.9;34.68;20.23
2022;11;40;Hôpital-Saint-Louis;27.5;33.0;19.25
2022;14;76;Combat;20.9;25.08;14.63
2022;2;13;Saint-Merri;25.0;30.0;17.5
2022;4;8;Bonne-Nouvelle;27.9;33.48;19.53
2022;4;8;Bonne-Nouvelle;22.3;26.76;15.61
2022;4;10;Enfants-Rouges;22.3;26.76;15.61
2022;6;58;Necker;23.7;28.44;16.59
2022;11;68;Epinettes;26.4;31.68;18.48
2022;2;21;Monnaie;29.2;35.04;20.44
2022;14;79;Père-Lachaise;21.9;26.28;15.33
2022;13;50;Gare;18.4;22.08;12.88
2022;7;61;Auteuil;22.9;27.48;16.03
2022;11;71;Goutte-d'Or;25.1;30.12;17.57
2022;11;71;Goutte-d'Or;25.4;30.48;17.78
2022;13;78;Saint-Fargeau;23.4;28.08;16.38
2022;7;60;Javel 15Art;24.3;29.16;17.01
2022;10;18;Jardin-des-Plantes;22.3;26.76;15.61
2022;2;31;Madeleine;23.3;27.96;16.31
2022;11;71;Goutte-d'Or;23.7;28.44;16.59
2022;11;54;Parc-de-Montsouris;27.5;33.0;19.25
2022;5;36;Rochechouart;25.0;30.0;17.5
2022;13;75;Amérique;16.3;19.56;11.41
2022;11;41;Folie-Méricourt;23.0;27.6;16.1
2022;11;40;Hôpital-Saint-Louis;26.4;31.68;18.48
2022;7;60;Javel 15Art;24.9;29.88;17.43
2022;13;73;Villette;20.3;24.36;14.21
2022;11;54;Parc-de-Montsouris;23.4;28.08;16.38
2022;4;20;Sorbonne;23.4;28.08;16.38
2022;2;13;Saint-Merri;22.6;27.12;15.82
2022;11;48;Quinze-Vingts;23.6;28.32;16.52
2022;4;11;Archives;23.1;27.72;16.17
2022;10;44;Sainte-Marguerite;21.9;26.28;15.33
2022;4;10;Enfants-Rouges;23.2;27.84;16.24
2022;11;48;Quinze-Vingts;26.3;31.56;18.41
2022;3;63;Porte-Dauphine;25.8;30.96;18.06
2022;4;12;Sainte-Avoie;28.9;34.68;20.23
2022;13;78;Saint-Fargeau;18.8;22.56;13.16
2022;9;46;Picpus;17.3;20.76;12.11
2022;2;31;Madeleine;26.6;31.92;18.62
2022;2;34;Chaussée-d'Antin;25.4;30.48;17.78
2022;11;43;Roquette;27.5;33.0;19.25
2022;10;44;Sainte-Marguerite;33.3;39.96;23.31
2022;10;49;Salpêtrière;25.0;30.0;17.5
2022;7;60;Javel 15Art;23.9;28.68;16.73
2022;10;49;Salpêtrière;26.3;31.56;18.41
2022;10;49;Salpêtrière;24.3;29.16;17.01
2022;5;36;Rochechouart;20.6;24.72;14.42
2022;5;52;Croulebarbe;21.8;26.16;15.26
2022;11;41;Folie-Méricourt;24.4;29.28;17.08
2022;2;1;St-Germain-l'Auxerrois;28.5;34.2;19.95
2022;2;3;Palais-Royal;27.7;33.24;19.39
2022;11;54;Parc-de-Montsouris;26.4;31.68;18.48
2022;5;33;Saint-Georges;29.5;35.4;20.65
2022;11;71;Goutte-d'Or;27.5;33.0;19.25
2022;5;37;Saint-Vincent-de-Paul;33.8;40.56;23.66
2022;4;12;Sainte-Avoie;27.9;33.48;19.53
2022;8;57;Saint-Lambert;22.4;26.88;15.68
2022;11;71;Goutte-d'Or;26.3;31.56;18.41
2022;14;76;Combat;19.5;23.4;13.65
2022;2;34;Chaussée-d'Antin;23.4;28.08;16.38
2022;4;6;Vivienne;23.5;28.2;16.45
2022;1;28;Gros-Caillou;31.3;37.56;21.91
2022;2;13;Saint-Merri;25.8;30.96;18.06
2022;11;41;Folie-Méricourt;28.2;33.84;19.74
2022;13;74;Pont-de-Flandre;19.8;23.76;13.86
2022;5;53;Montparnasse;21.2;25.44;14.84
